2022-09-11 15:13:50,064 | root       | INFO       | [[1 3 1 0 2 2 2 2 0 0 1 0 0 2 1 0 0 1 3 1]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,064 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,065 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,066 | root       | INFO       | [[0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,067 | root       | INFO       | [[0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,067 | root       | INFO       | [[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,068 | root       | INFO       | [[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,069 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 1 0 2 1 1 0 0 1 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,070 | root       | INFO       | [[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,070 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,071 | root       | INFO       | [[0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,072 | root       | INFO       | [[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,073 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,074 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,075 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,075 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,076 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,077 | root       | INFO       | [[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,078 | root       | INFO       | [[0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,078 | root       | INFO       | [[0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,079 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,080 | root       | INFO       | [[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,081 | root       | INFO       | [[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,082 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,083 | root       | INFO       | [[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,084 | root       | INFO       | [[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,085 | root       | INFO       | [[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,085 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 1]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,086 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,087 | root       | INFO       | [[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,088 | root       | INFO       | [[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,088 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,089 | root       | INFO       | [[0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,090 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,091 | root       | INFO       | [[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,091 | root       | INFO       | [[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]                                                                                                                                                                                                                                                                 
